FIRE_YEAR,FIRE_INCIDENTS,FIRE_SIZE
1992,1168,33610.3
1993,1457,116873.7
1994,907,70917.49999999997
1995,1648,56371.1
1996,2843,216223.0
1997,770,46780.899999999994
1998,2026,136551.40000000002
1999,1775,60028.200000000004
2000,2627,181686.8
2001,771,92226.20000000001
2002,1229,43793.60000000003
2003,1147,54367.15000000002
2004,1040,34553.40000000002
2005,6901,288851.34999999986
2006,15022,1852752.9999899971
2007,5477,135033.55000000042
2008,18067,1483416.1199900184
2009,14142,557794.4799999831
2010,9351,238202.0300000032
2011,19453,3498724.9500000314
2012,7623,163114.90000000293
2013,9735,71739.92000000004
2014,8538,143843.0300000039
2015,8304,208761.73000000685
