0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
0,year_0,0,0,0,0,0,100,0,0,0,0,0
0,year_1,0,0,0,0,0,100,0,0,0,0,0
0,year_2,0,0,0,0,0,100,0,0,0,0,0
0,year_3,0,0,0,0,0,100,0,0,0,0,0
0,year_4,0,0,0,0,0,100,0,0,0,0,0
0,year_5,0,0,0,0,0,100,0,0,0,0,0
0,year_6,0,0,0,0,0,100,0,0,0,0,0
0,year_7,0,0,0,0,0,100,0,0,0,0,0
0,year_8,0,0,0,0,0,100,0,0,0,0,0
0,year_9,0,0,0,0,0,100,0,0,0,0,0
0,year_10,0,0,0,0,0,100,0,0,0,0,0
0,year_11,0,0,0,0,0,100,0,0,0,0,0
0,year_12,0,0,0,0,0,100,0,0,0,0,0
0,year_13,0,0,0,0,0,100,0,0,0,0,0
0,year_14,0,0,0,0,0,100,0,0,0,0,0
0,year_15,0,0,0,0,0,100,0,0,0,0,0
0,year_16,0,0,0,0,0,100,0,0,0,0,0
0,year_17,0,0,0,0,0,100,0,0,0,0,0
0,year_18,0,0,0,0,0,100,0,0,0,0,0
0,year_19,0,0,0,0,0,100,0,0,0,0,0
0,year_20,0,0,0,0,0,100,0,0,0,0,0
0,year_21,0,0,0,0,0,100,0,0,0,0,0
0,year_22,0,0,0,0,0,100,0,0,0,0,0
0,year_23,0,0,0,0,0,100,0,0,0,0,0
0,year_24,0,0,0,0,0,100,0,0,0,0,0
0,year_25,0,0,0,0,0,100,0,0,0,0,0
0,year_26,0,0,0,0,0,100,0,0,0,0,0
0,year_27,0,0,0,0,0,100,0,0,0,0,0
0,year_28,0,0,0,0,0,100,0,0,0,0,0
0,year_29,0,0,0,0,0,100,0,0,0,0,0
0,year_30,0,0,0,0,0,100,0,0,0,0,0
0,year_31,0,0,0,0,0,100,0,0,0,0,0
0,year_32,0,0,0,0,0,100,0,0,0,0,0
0,year_33,0,0,0,0,0,100,0,0,0,0,0
0,year_34,0,0,0,0,0,100,0,0,0,0,0
0,year_35,0,0,0,0,0,100,0,0,0,0,0
0,year_36,0,0,0,0,0,100,0,0,0,0,0
0,year_37,0,0,0,0,0,100,0,0,0,0,0
0,year_38,0,0,0,0,0,100,0,0,0,0,0
0,year_39,0,0,0,0,0,100,0,0,0,0,0
0,year_40,0,0,0,0,0,100,0,0,0,0,0
0,year_41,0,0,0,0,0,100,0,0,0,0,0
0,year_42,0,0,0,0,0,100,0,0,0,0,0
0,year_43,0,0,0,0,0,100,0,0,0,0,0
0,year_44,0,0,0,0,0,100,0,0,0,0,0
0,year_45,0,0,0,0,0,100,0,0,0,0,0
0,year_46,0,0,0,0,0,100,0,0,0,0,0
0,year_47,0,0,0,0,0,100,0,0,0,0,0
0,year_48,0,0,0,0,0,100,0,0,0,0,0
0,year_49,0,0,0,0,0,100,0,0,0,0,0
0,year_50,0,0,0,0,0,100,0,0,0,0,0
0,year_51,0,0,0,0,0,100,0,0,0,0,0
0,year_52,0,0,0,0,0,100,0,0,0,0,0
0,year_53,0,0,0,0,0,100,0,0,0,0,0
0,year_54,0,0,0,0,0,100,0,0,0,0,0
0,year_55,0,0,0,0,0,100,0,0,0,0,0
0,year_56,0,0,0,0,0,100,0,0,0,0,0
0,year_57,0,0,0,0,0,100,0,0,0,0,0
0,year_58,0,0,0,0,0,100,0,0,0,0,0
0,year_59,0,0,0,0,0,100,0,0,0,0,0
0,year_60,0,0,0,0,0,100,0,0,0,0,0
0,year_61,0,0,0,0,0,100,0,0,0,0,0
0,year_62,0,0,0,0,0,100,0,0,0,0,0
0,year_63,0,0,0,0,0,100,0,0,0,0,0
0,year_64,0,0,0,0,0,100,0,0,0,0,0
0,year_65,0,0,0,0,0,100,0,0,0,0,0
0,year_66,0,0,0,0,0,100,0,0,0,0,0
0,year_67,0,0,0,0,0,100,0,0,0,0,0
0,year_68,0,0,0,0,0,100,0,0,0,0,0
0,year_69,0,0,0,0,0,100,0,0,0,0,0
0,year_70,0,0,0,0,0,100,0,0,0,0,0
0,year_71,0,0,0,0,0,100,0,0,0,0,0
0,year_72,0,0,0,0,0,100,0,0,0,0,0
0,year_73,0,0,0,0,0,100,0,0,0,0,0
0,year_74,0,0,0,0,0,100,0,0,0,0,0
0,year_75,0,0,0,0,0,100,0,0,0,0,0
0,year_76,0,0,0,0,0,100,0,0,0,0,0
0,year_77,0,0,0,0,0,100,0,0,0,0,0
0,year_78,0,0,0,0,0,100,0,0,0,0,0
0,year_79,0,0,0,0,0,100,0,0,0,0,0
0,year_80,0,0,0,0,0,100,0,0,0,0,0
0,year_81,0,0,0,0,0,100,0,0,0,0,0
0,year_82,0,0,0,0,0,100,0,0,0,0,0
0,year_83,0,0,0,0,0,100,0,0,0,0,0
0,year_84,0,0,0,0,0,100,0,0,0,0,0
0,year_85,0,0,0,0,0,100,0,0,0,0,0
0,year_86,0,0,0,0,0,100,0,0,0,0,0
0,year_87,0,0,0,0,0,100,0,0,0,0,0
0,year_88,0,0,0,0,0,100,0,0,0,0,0
0,year_89,0,0,0,0,0,100,0,0,0,0,0
0,year_90,0,0,0,0,0,100,0,0,0,0,0
0,year_91,0,0,0,0,0,100,0,0,0,0,0
0,year_92,0,0,0,0,0,100,0,0,0,0,0
0,year_93,0,0,0,0,0,100,0,0,0,0,0
0,year_94,0,0,0,0,0,100,0,0,0,0,0
0,year_95,0,0,0,0,0,100,0,0,0,0,0
0,year_96,0,0,0,0,0,100,0,0,0,0,0
0,year_97,0,0,0,0,0,100,0,0,0,0,0
0,year_98,0,0,0,0,0,100,0,0,0,0,0
0,year_99,0,0,0,0,0,100,0,0,0,0,0
0,year_100,0,0,0,0,0,100,0,0,0,0,0
0,year_101,0,0,0,0,0,100,0,0,0,0,0
0,year_102,0,0,0,0,0,100,0,0,0,0,0
0,year_103,0,0,0,0,0,100,0,0,0,0,0
0,year_104,0,0,0,0,0,100,0,0,0,0,0
0,year_105,0,0,0,0,0,100,0,0,0,0,0
0,year_106,0,0,0,0,0,100,0,0,0,0,0
0,year_107,0,0,0,0,0,100,0,0,0,0,0
0,year_108,0,0,0,0,0,100,0,0,0,0,0
0,year_109,0,0,0,0,0,100,0,0,0,0,0
0,year_110,0,0,0,0,0,100,0,0,0,0,0
0,year_111,0,0,0,0,0,100,0,0,0,0,0
0,year_112,0,0,0,0,0,100,0,0,0,0,0
0,year_113,0,0,0,0,0,100,0,0,0,0,0
0,year_114,0,0,0,0,0,100,0,0,0,0,0
0,year_115,0,0,0,0,0,100,0,0,0,0,0
0,year_116,0,0,0,0,0,100,0,0,0,0,0
0,year_117,0,0,0,0,0,100,0,0,0,0,0
0,year_118,0,0,0,0,0,100,0,0,0,0,0
0,year_119,0,0,0,0,0,100,0,0,0,0,0
0,year_120,0,0,0,0,0,100,0,0,0,0,0
0,year_121,0,0,0,0,0,100,0,0,0,0,0
0,year_122,0,0,0,0,0,100,0,0,0,0,0
0,year_123,0,0,0,0,0,100,0,0,0,0,0
0,year_124,0,0,0,0,0,100,0,0,0,0,0
0,year_125,0,0,0,0,0,100,0,0,0,0,0
0,year_126,0,0,0,0,0,100,0,0,0,0,0
0,year_127,0,0,0,0,0,100,0,0,0,0,0
0,year_128,0,0,0,0,0,100,0,0,0,0,0
0,year_129,0,0,0,0,0,100,0,0,0,0,0
0,year_130,0,0,0,0,0,100,0,0,0,0,0
0,year_131,0,0,0,0,0,100,0,0,0,0,0
0,year_132,0,0,0,0,0,100,0,0,0,0,0
0,year_133,0,0,0,0,0,100,0,0,0,0,0
0,year_134,0,0,0,0,0,100,0,0,0,0,0
0,year_135,0,0,0,0,0,100,0,0,0,0,0
0,year_136,0,0,0,0,0,100,0,0,0,0,0
0,year_137,0,0,0,0,0,100,0,0,0,0,0
0,year_138,0,0,0,0,0,100,0,0,0,0,0
0,year_139,0,0,0,0,0,100,0,0,0,0,0
0,year_140,0,0,0,0,0,100,0,0,0,0,0
0,year_141,0,0,0,0,0,100,0,0,0,0,0
0,year_142,0,0,0,0,0,100,0,0,0,0,0
0,year_143,0,0,0,0,0,100,0,0,0,0,0
0,year_144,0,0,0,0,0,100,0,0,0,0,0
0,year_145,0,0,0,0,0,100,0,0,0,0,0
0,year_146,0,0,0,0,0,100,0,0,0,0,0
0,year_147,0,0,0,0,0,100,0,0,0,0,0
0,year_148,0,0,0,0,0,100,0,0,0,0,0
0,year_149,0,0,0,0,0,100,0,0,0,0,0
0,year_150,0,0,0,0,0,100,0,0,0,0,0
0,year_151,0,0,0,0,0,100,0,0,0,0,0
0,year_152,0,0,0,0,0,100,0,0,0,0,0
0,year_153,0,0,0,0,0,100,0,0,0,0,0
0,year_154,0,0,0,0,0,100,0,0,0,0,0
0,year_155,0,0,0,0,0,100,0,0,0,0,0
0,year_156,0,0,0,0,0,100,0,0,0,0,0
0,year_157,0,0,0,0,0,100,0,0,0,0,0
0,year_158,0,0,0,0,0,100,0,0,0,0,0
0,year_159,0,0,0,0,0,100,0,0,0,0,0
0,year_160,0,0,0,0,0,100,0,0,0,0,0
0,year_161,0,0,0,0,0,100,0,0,0,0,0
0,year_162,0,0,0,0,0,100,0,0,0,0,0
0,year_163,0,0,0,0,0,100,0,0,0,0,0
0,year_164,0,0,0,0,0,100,0,0,0,0,0
0,year_165,0,0,0,0,0,100,0,0,0,0,0
0,year_166,0,0,0,0,0,100,0,0,0,0,0
0,year_167,0,0,0,0,0,100,0,0,0,0,0
0,year_168,0,0,0,0,0,100,0,0,0,0,0
0,year_169,0,0,0,0,0,100,0,0,0,0,0
0,year_170,0,0,0,0,0,100,0,0,0,0,0
0,year_171,0,0,0,0,0,100,0,0,0,0,0
