0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
0,d_18950101,0,0,0,0,0,100,0,0,0,0,0
0,d_18950201,0,0,0,0,0,100,0,0,0,0,0
0,d_18950301,0,0,0,0,0,100,0,0,0,0,0
0,d_18950401,0,0,0,0,0,100,0,0,0,0,0
0,d_18950501,0,0,0,0,0,100,0,0,0,0,0
0,d_18950601,0,0,0,0,0,100,0,0,0,0,0
0,d_18950701,0,0,0,0,0,100,0,0,0,0,0
0,d_18950801,0,0,0,0,0,100,0,0,0,0,0
58.9,d_18950901,12.3,2.1,0,0,0,0,28.8,23,13.7,2.6,0
57.4,d_18951001,13,2.4,0,0,0,0,29.5,24.4,15.1,3.7,0
66.7,d_18951101,5.2,1.1,0,0,0,0,28.1,21.7,10,3.5,0
61.1,d_18951201,3.7,0.8,0,0,0,0,35.3,22.8,10.6,3,0
39.1,d_18960101,0.2,0,0,0,0,0,60.8,29.7,16.1,5.7,0.1
59.1,d_18960201,0,0,0,0,0,0,41,23.7,5.3,0,0
77.8,d_18960301,3.2,0,0,0,0,0,19,6.8,0,0,0
46.4,d_18960401,35.2,22.3,8.2,2,0,0,18.5,2.8,0,0,0
33.7,d_18960501,66.3,46.6,17.4,7.9,3.3,0,0,0,0,0,0
31.9,d_18960601,68.1,32.2,10.5,3.5,0,0,0,0,0,0,0
29.4,d_18960701,70.6,53.6,31.2,13.6,1.8,0,0,0,0,0,0
3.3,d_18960801,96.7,85.2,48.2,35.5,16.8,0,0,0,0,0,0
43.8,d_18960901,55.5,50,41.1,24.7,8.9,0,0.7,0,0,0,0
59.3,d_18961001,39.4,30.9,24.4,19.3,8.9,0,1.5,0.7,0,0,0
30.1,d_18961101,68.6,40.2,25,18.2,7.3,0,1.3,0.6,0,0,0
40.9,d_18961201,57.8,38,20,12.5,5.4,0,1.3,0.6,0,0,0
34.2,d_18970101,64.6,41.5,15.1,2.6,0,0,1.3,0.6,0,0,0
58,d_18970201,39.8,23.3,7.1,3.3,0,0,2.3,0.6,0,0,0
73.3,d_18970301,10.8,4.6,2.3,1.5,0.5,0,15.9,3,0,0,0
74.2,d_18970401,7.2,3.5,1.8,0.9,0.1,0,18.7,3.6,0,0,0
54.7,d_18970501,5.8,3.6,2,1.3,0.2,0,39.6,25.8,3.5,1.2,0.1
26.8,d_18970601,33.5,22,5.1,1.6,0,0,39.6,26.3,8.7,2.7,0.3
38.4,d_18970701,41.4,34.7,19.1,9,4.1,0,20.2,8.4,0.4,0,0
33.2,d_18970801,31.3,22.7,10.3,7,3.8,0,35.6,16.8,3.7,0.6,0
47.8,d_18970901,32.4,22.7,9.1,6.2,4,0,19.8,7.5,0.1,0,0
52.1,d_18971001,37.6,21.7,5.7,3.8,2.4,0,10.3,3.2,0,0,0
56,d_18971101,37.7,22.6,6.2,3.9,2.2,0,6.2,1.4,0,0,0
45.3,d_18971201,49.1,30.3,5.3,3.5,0.9,0,5.6,0.8,0,0,0
53.8,d_18980101,41.7,26.2,7.2,4.6,3.2,0,4.6,0.8,0,0,0
50.9,d_18980201,48.3,31.9,7.1,3.3,1.2,0,0.9,0.2,0,0,0
37.2,d_18980301,61.7,42,6.3,3.6,2.4,0,1.1,0.2,0,0,0
36.9,d_18980401,58.2,27.2,5.6,3.6,0.7,0,5,2.3,0,0,0
19.3,d_18980501,77.9,59.7,22.1,14,4.8,0,2.8,0.1,0,0,0
74,d_18980601,20.3,9.3,2.7,0.6,0,0,5.7,0.1,0,0,0
76.6,d_18980701,14.6,5.9,3.3,2.6,1.5,0,8.7,3.7,0,0,0
63,d_18980801,6.9,4.6,3.5,3,2.2,0,30,11.5,1.5,0,0
64.1,d_18980901,14.4,6.2,4,3.4,2.6,0,21.3,7.7,0,0,0
58.3,d_18981001,32.6,9.6,4.3,3.7,2.9,0,9.1,1.1,0,0,0
61.9,d_18981101,29.9,13.5,4.5,3.8,2.9,0,8.1,0.5,0,0,0
61,d_18981201,26.3,11.6,4.9,4.3,3.4,0,12.7,4.2,0,0,0
57.9,d_18990101,32.4,16.8,4.8,4.1,3.1,0,9.6,1.3,0,0,0
62.1,d_18990201,29.8,11.4,4.7,4,2.7,0,8.1,1.1,0,0,0
22.9,d_18990301,77.1,62.6,27.1,10.8,2.3,0,0,0,0,0,0
15.4,d_18990401,84.4,68.8,31.1,12.6,1.2,0,0.1,0,0,0,0
1.4,d_18990501,98.6,86.6,45.1,13.4,3,0,0,0,0,0,0
51.4,d_18990601,42.9,20.3,1.7,0,0,0,5.8,0.3,0,0,0
54.5,d_18990701,18.9,12.3,0.7,0,0,0,26.6,15.7,6.6,2.6,0
55.3,d_18990801,30,17,7.1,1.2,0,0,14.7,9.1,2.5,0,0
42.2,d_18990901,47.1,27.9,9.9,1.9,0,0,10.6,3.4,0,0,0
62,d_18991001,30.5,17.5,9.2,3.5,0.1,0,7.4,0.5,0,0,0
61.2,d_18991101,20.2,14.3,6.7,2.3,0.1,0,18.7,7.7,0,0,0
47.2,d_18991201,14.5,10.6,4,0.6,0,0,38.4,14,1.3,0,0
36.9,d_19000101,11.5,8.4,3.1,0.3,0,0,51.7,22.8,5.1,0.5,0
36.5,d_19000201,9.3,6.3,2.3,1,0,0,54.1,33.2,6.2,0,0
59,d_19000301,11.3,4.1,2,1,0,0,29.9,12.7,2.6,0.6,0
46.3,d_19000401,5.2,3.7,2,1,0,0,48.5,33.9,6.4,0.1,0
11,d_19000501,3.9,2.7,1,0.1,0,0,84.9,72.6,25,9.7,3
10.6,d_19000601,3,1.6,0.2,0,0,0,86.4,68.7,22.5,6.3,2.8
8.9,d_19000701,1.8,0.9,0,0,0,0,89.2,83.7,54.1,29.6,12.1
11.6,d_19000801,2.5,1.3,0.3,0,0,0,85.7,76.7,51.2,36.2,13.9
10.3,d_19000901,1.9,1,0.5,0.3,0.2,0,87.8,82.9,64.5,41.3,11
10.9,d_19001001,2.2,1.2,0.6,0.4,0.2,0,86.8,81.9,58.7,38.4,11.8
10.2,d_19001101,3.3,1.9,0.9,0.6,0.3,0,86.7,81.9,59,36.9,10.9
14.4,d_19001201,4.3,3.2,1.4,0.8,0.4,0,81.1,69,43.3,24.3,5.1
33.7,d_19010101,12.3,7.9,3.8,1.7,0.8,0,54.1,41.2,20.1,11.7,1.7
36.5,d_19010201,15.6,6,2.2,1.4,0.7,0,47.8,32.4,15.8,5.1,1.1
